sofascore_slug,transfermarkt_url,lig,sezon,etiket
axel-disasi/827243,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,Premier League,23/24,Centre-Back
axel-disasi/827243,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,Ligue 1,22/23,Centre-Back
axel-disasi/827243,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,Ligue 1,21/22,Centre-Back
axel-disasi/827243,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,Ligue 1,20/21,Centre-Back
axel-disasi/827243,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047,Ligue 1,19/20,Centre-Back
axel-tuanzebe/817979,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Championship,18/19,Centre-Back
axel-tuanzebe/817979,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Premier League 2,16/17,Centre-Back
axel-tuanzebe/817979,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Premier League,24/25,Right-Back
axel-tuanzebe/817979,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Championship,23/24,Right-Back
bafode-diakite/962408,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,Ligue 1,24/25,Centre-Back
bafode-diakite/962408,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,Ligue 1,23/24,Centre-Back
bafode-diakite/962408,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,Ligue 2,20/21,Centre-Back
bafode-diakite/962408,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,Ligue 1,19/20,Centre-Back
bafode-diakite/962408,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,Ligue 1,22/23,Right-Back
bashir-humphreys/996910,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,Championship,23/24,Centre-Back
bashir-humphreys/996910,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,2. Bundesliga,22/23,Centre-Back
bashir-humphreys/996910,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,Premier League 2,21/22,Centre-Back
bashir-humphreys/996910,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,U18 Premier League,20/21,Centre-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,19/20,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,18/19,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,17/18,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,16/17,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,15/16,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,13/14,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,12/13,Left-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,24/25,Centre-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,22/23,Centre-Back
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Premier League,21/22,Centre-Back
ben-doak/1154861,https://www.transfermarkt.com/ben-gannon-doak/profil/spieler/719673,Championship,24/25,Right Winger
benjamin-sesko/986397,https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442,Bundesliga,24/25,Centre-Forward
benjamin-sesko/986397,https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442,Bundesliga,23/24,Centre-Forward
benjamin-sesko/986397,https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442,Bundesliga,22/23,Centre-Forward
benjamin-sesko/986397,https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442,2. Liga,20/21,Centre-Forward
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,21/22,Centre-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,20/21,Centre-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Championship,19/20,Centre-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,League One,18/19,Centre-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,League Two,17/18,Centre-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,24/25,Right-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,23/24,Right-Back
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Premier League,22/23,Right-Back
benoit-badiashile/904827,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Premier League,23/24,Centre-Back
